    oakcode     | depotcount | totalstock 
----------------+------------+------------
 1955516COHR007 |          1 |         35
 2155518DAVR012 |          1 |         30
 2154517DAWR044 |          1 |         30
 2055017MIYR002 |          1 |         30
 1956515DUVR007 |          1 |         30
 1857014DAHR034 |          1 |         30
 2253519DAYR007 |          1 |         28
 1955016COVR008 |          1 |         28
 1956515MIVR011 |          1 |         27
 2155017GYWR008 |          1 |         25
 2055017DAWR070 |          1 |         25
 1856015DAHR039 |          1 |         25
 1955516GYHR033 |          1 |         25
 2253519BUWR043 |          1 |         25
 2056516DATR001 |          1 |         22
 2155518BRTR001 |          1 |         22
 1956015HKVR005 |          1 |         22
 1857516MIR003  |          1 |         22
 1656014BUHR069 |          1 |         20
 1955516GYHR025 |          1 |         20
 2055017PIHR006 |          1 |         20
 2155516DAWR046 |          1 |         20
 2055516HKWR012 |          1 |         18
 2155517HKWR010 |          1 |         18
 1856015DUHR014 |          1 |         18
 1956015BUVR050 |          1 |         18
 1956516DATR018 |          1 |         15
 1756515DUHR002 |          1 |         15
 2157015HKSR002 |          1 |         15
 1955015DAVR044 |          1 |         10
(30 rows)

